Case,PosRMSE_All_m,PosRMSE_Steady_m,PosRMSE_LastLap_m,CenterOffset_m
Perturbed,0.0723522936538406,0.108978803732148,0.108978803732148,0.110810474821288
Unsmoothed,1.38709386041043,1.38709386041043,3.91263972154605,2.81736399969545
Smoothed,0.0707182186520396,0.0791358148720722,0.0791358148720722,0.435001225815992
