Case,BaseLabel,CompLabel,BasePosRMSE_m,CompPosRMSE_m,PosImprove_pct,BaseVelRMSE_mps,CompVelRMSE_mps,VelImprove_pct
Figure8,Perturbed,Compensated,0.149336660161998,0.034472786324781,76.9160591328443,0.181235007348191,0.00701561527789191,96.128995506694
Heart,Perturbed,Compensated,0.102124887149348,0.0187920214605974,81.5989794602016,0.156859985028623,0.00621931100122146,96.0351194728939
Square,Perturbed,Compensated,0.232973581354661,0.0788417778250225,66.1584900027786,0.238406486638808,0.0125014013987542,94.7562662513901
Star,Perturbed,Compensated,0.0917892094294003,0.0533041154177295,41.9276887238816,0.148955864368748,0.0181694007897323,87.8021581313825
Circle,Perturbed,Compensated,0.0723522936538406,0.0707182186520396,2.25849785719162,0.14114329574987,0.0390494610786267,72.3334637531569
